"category","sku","Number of Orders","Total Revenue"
"Set","J0230-SKD-M","434","483611.0"
"Western Dress","JNE3797-KR-L","637","464075.0"
"Set","J0230-SKD-S","397","446499.0"
"Western Dress","JNE3797-KR-M","541","397970.0"
"Western Dress","JNE3797-KR-S","485","357989.0"
"Western Dress","JNE3797-KR-XL","397","296575.0"
"Set","J0230-SKD-L","252","277678.0"
"Western Dress","JNE3797-KR-XS","366","273810.0"
"Set","SET268-KR-NP-XL","343","260156.0"
"Set","SET268-KR-NP-L","325","241920.0"
"kurta","JNE3405-KR-L","449","178348.0"
"kurta","JNE3405-KR-S","377","155471.0"
"kurta","JNE3405-KR-M","329","129770.0"
"kurta","JNE3801-KR-M","143","104679.0"
"kurta","JNE3567-KR-M","267","103950.0"
"Top","J0119-TP-XXXL","161","93572.0"
"Top","J0119-TP-XL","156","93566.0"
"Top","J0119-TP-XXL","142","85626.0"
"Top","J0119-TP-L","116","69790.0"
"Top","J0301-TP-XL","123","67140.0"
"Ethnic Dress","J0006-SET-M","79","67103.0"
"Ethnic Dress","J0006-SET-XL","59","48896.0"
"Ethnic Dress","J0006-SET-S","54","45053.0"
"Ethnic Dress","J0006-SET-L","49","40945.0"
"Ethnic Dress","J0006-SET-XXXL","42","36396.0"
"Blouse","J0217-BL-L","30","20275.0"
"Blouse","J0217-BL-M","31","19593.0"
"Blouse","J0217-BL-XL","27","18922.0"
"Blouse","J0217-BL-S","26","18106.0"
"Blouse","BL021-71BLACK","36","14234.0"
"Saree","SAR069","12","10556.0"
"Saree","SAR062","5","5337.0"
"Saree","JNE09210-PINK-SR-JP8101RNV","6","5154.0"
"Saree","SAR137","6","3984.0"
"Saree","JNE1000-NAVY-SR-JB6102RMV-K","4","3595.0"
"Bottom","BTM031-NP-XL","5","2590.0"
"Bottom","BTM039-PP-XXXL","7","2520.0"
"Bottom","BTM002-B-M","4","2283.0"
"Bottom","BTM038-PP-S","6","2268.0"
"Bottom","AN213-BROWN-S","8","2264.0"
"Dupatta","DPT032","1","305.0"
"Dupatta","DPT041","1","305.0"
"Dupatta","DPT052","1","305.0"
